cleansing,CaseFolding
Saya sedang bermasalah dengan pengisian pulsa karena masa tenggang  xl care maya dan agents sungguh tidak membantu  Maya bot  terbatas dalam cara penyelesaian  agents antrian tidak bergerak sedikitpun Tolonglah fast response  Cs nya kalah sm shopee yg gercep dan  terlihat  online saat menerima pengaduan,saya sedang bermasalah dengan pengisian pulsa karena masa tenggang  xl care maya dan agents sungguh tidak membantu  maya bot  terbatas dalam cara penyelesaian  agents antrian tidak bergerak sedikitpun tolonglah fast response  cs nya kalah sm shopee yg gercep dan  terlihat  online saat menerima pengaduan
mantap bisa bayar dengan va BCA kalau beli pulsa di myXL trima kasih xl,mantap bisa bayar dengan va bca kalau beli pulsa di myxl trima kasih xl
Sebenarnya bagi masyarakat awam cukup pintar untuk  merestart device kalian switch ke kartu lain kartu xl yg serupa agar tidak terjadi crash atau keluar apps sendiri membersihkan penyimpanan internal agar tidak terjadi lemot pada device jika hal hal lain seperti terpotong pulsa lebih baik anda semua pilih fitur kontrol pulsa pada laman pengaturan Sekian dari saya terimakasih ,sebenarnya bagi masyarakat awam cukup pintar untuk  merestart device kalian switch ke kartu lain kartu xl yg serupa agar tidak terjadi crash atau keluar apps sendiri membersihkan penyimpanan internal agar tidak terjadi lemot pada device jika hal hal lain seperti terpotong pulsa lebih baik anda semua pilih fitur kontrol pulsa pada laman pengaturan sekian dari saya terimakasih 
Harga sdh oke  lbh terjangkau dr yg lain  tapi kualitas jaringan Sangat MENGECEWAKAN  TIDAK STABIL  bahkan signalnya SERING ilang ilangan Percuma kuota besar tapi LEMOT PARAH Tolong PERBAIKI,harga sdh oke  lbh terjangkau dr yg lain  tapi kualitas jaringan sangat mengecewakan  tidak stabil  bahkan signalnya sering ilang ilangan percuma kuota besar tapi lemot parah tolong perbaiki
Kenapa sinyal XL kalau malem jelek banget tapi kalau siang bagus banget,kenapa sinyal xl kalau malem jelek banget tapi kalau siang bagus banget
Seru banget  Saya baru beli paket bayar pake pulsa  Trus masih ada sisa pulsa  rebuu  paketnya emang udah masuk sihh  trus on data buka ini itu yang kesedot pulsanya kipak  mana abis tuh  rebu Kipakk  Plislah untuk xl kalo mau nyedot pulsa usahakan ada konfirmasi atau tidaknya  Soalnya kakak saya juga sering ngalamin seperti itu  Saya dan kakak saya pelanggan setia xl but xl jaringan lumayan bagus dan terkadang ada diskon gede an Jadi tolong ya di perbaiki lagi agar tidak mengcewan pelanggan,seru banget  saya baru beli paket bayar pake pulsa  trus masih ada sisa pulsa  rebuu  paketnya emang udah masuk sihh  trus on data buka ini itu yang kesedot pulsanya kipak  mana abis tuh  rebu kipakk  plislah untuk xl kalo mau nyedot pulsa usahakan ada konfirmasi atau tidaknya  soalnya kakak saya juga sering ngalamin seperti itu  saya dan kakak saya pelanggan setia xl but xl jaringan lumayan bagus dan terkadang ada diskon gede an jadi tolong ya di perbaiki lagi agar tidak mengcewan pelanggan
Mahal harga tidak merakyat  kuotanya kebanyakan buat youtubean kuota internet digedein harusnya sisanya kuota youtube giga buat seminggu cukup buat apa di pikir dong yg realistis situ kan orang pintar,mahal harga tidak merakyat  kuotanya kebanyakan buat youtubean kuota internet digedein harusnya sisanya kuota youtube giga buat seminggu cukup buat apa di pikir dong yg realistis situ kan orang pintar
Bagus sekali apk nya saya suka  terima kasih my XL sudah memberi kami paket data  gb,bagus sekali apk nya saya suka  terima kasih my xl sudah memberi kami paket data  gb
Mau login susah bener  autentikasi gagal mulu padhal dah masukin otp mohon dijawab,mau login susah bener  autentikasi gagal mulu padhal dah masukin otp mohon dijawab
Aplikasi selalu terhenti jadi gak bisa di buka  sudah uninstal dan instal lagi yg baru tapi tetap aplikasi terhenti atau aplikasi myXL tidak menanggapi,aplikasi selalu terhenti jadi gak bisa di buka  sudah uninstal dan instal lagi yg baru tapi tetap aplikasi terhenti atau aplikasi myxl tidak menanggapi
Koneksi internet sering hilang dan lemot bisa dari pagi sampe malem  cuman bisa internetan beberapa menit abis itu ilang lagi terus aja begitu Masalahnya bukan saya doang yg begitu  orang dekat saya juga merasakannya,koneksi internet sering hilang dan lemot bisa dari pagi sampe malem  cuman bisa internetan beberapa menit abis itu ilang lagi terus aja begitu masalahnya bukan saya doang yg begitu  orang dekat saya juga merasakannya
tolong dirubah lagi lah untuk penjualan masa aktif kartu cepet banget masa tenggangnya di isi ribu ga nyampe sebulan masa aktif dan ada juga jualan masa aktif  saran saya buang budaya itu saya sebagai pengguna baru cukup kaget dengan kebijakan seperti itu saya tidak sedang membandingkan dengan provider lain  hanya saja saya ngasih saran  terimakasij,tolong dirubah lagi lah untuk penjualan masa aktif kartu cepet banget masa tenggangnya di isi ribu ga nyampe sebulan masa aktif dan ada juga jualan masa aktif  saran saya buang budaya itu saya sebagai pengguna baru cukup kaget dengan kebijakan seperti itu saya tidak sedang membandingkan dengan provider lain  hanya saja saya ngasih saran  terimakasij
Aplikasi myxl Aga pelit Ga sepirti myim Isi ulang pulsa Bner  sering dapat bonos kouta gb Smpai gb Bner  yata,aplikasi myxl aga pelit ga sepirti myim isi ulang pulsa bner  sering dapat bonos kouta gb smpai gb bner  yata
kenapa setiap saya membuka myXL apk nya selalu keluar sendiri  dulu biasa  aja dipake sekarang kok malah gini  developer tolong segera perbaiki,kenapa setiap saya membuka myxl apk nya selalu keluar sendiri  dulu biasa  aja dipake sekarang kok malah gini  developer tolong segera perbaiki
mudah dan cepat  terima kasih sdh melayani saya  selama lebih dari tahun  sekali lagibterimankasih XL,mudah dan cepat  terima kasih sdh melayani saya  selama lebih dari tahun  sekali lagibterimankasih xl
Lebih praktis & cepat untuk top up cek kuota pulsa dll,lebih praktis & cepat untuk top up cek kuota pulsa dll
Makin jelek aja astaga aplikasinyaa  Tiap mau dibuka loadingnya lama  dan keluar sendiri terus sblm sempet aktifkan kuota unlimitednya sampe saya hapus terus dwnload lagi apk nya tp ttp aja ngak bisa login ke menunya  PARAH ,makin jelek aja astaga aplikasinyaa  tiap mau dibuka loadingnya lama  dan keluar sendiri terus sblm sempet aktifkan kuota unlimitednya sampe saya hapus terus dwnload lagi apk nya tp ttp aja ngak bisa login ke menunya  parah 
Aplikasi xl anlimited bisa untuk ambil bonus di saat kita baru isi ulang,aplikasi xl anlimited bisa untuk ambil bonus di saat kita baru isi ulang
Tolong untuk di tingkat kan LG sinyal nya Krn semenjak XL di beli sm Axis sinyal Nye jd makin parah bgt,tolong untuk di tingkat kan lg sinyal nya krn semenjak xl di beli sm axis sinyal nye jd makin parah bgt
ga ada perubahan  masih lelet aja ni xl  tutup aja perusahaan xl  ga guna,ga ada perubahan  masih lelet aja ni xl  tutup aja perusahaan xl  ga guna
Buset dah sinyal nya tinggal di kota berasa tinggal di hutan gak ada sinyal jariangan doang ada internet nya bobrok,buset dah sinyal nya tinggal di kota berasa tinggal di hutan gak ada sinyal jariangan doang ada internet nya bobrok
sekarang xl sinyalnya sudah bagus  aq pake kartu xl ini sudah lama lebih dari  th  kartu lain boleh ganti  tapi kartu xl ini tetap jadi kartu utamaku,sekarang xl sinyalnya sudah bagus  aq pake kartu xl ini sudah lama lebih dari  th  kartu lain boleh ganti  tapi kartu xl ini tetap jadi kartu utamaku
saya tdk berlangganan mood musik  main potong aja,saya tdk berlangganan mood musik  main potong aja
chat di maya dah kaya org bego ga prnah di respon apk ga jelas,chat di maya dah kaya org bego ga prnah di respon apk ga jelas
Tolong klo cs live chat itu tanggepin sinyal daerah saya akhir  ini naik turun,tolong klo cs live chat itu tanggepin sinyal daerah saya akhir  ini naik turun
Makin kesini makin gak jelas  susah untuk komunikasi langsung dengan cust servicenya,makin kesini makin gak jelas  susah untuk komunikasi langsung dengan cust servicenya
Toling dong teh maya bapak ibu jaringan di kampung saya makin kesini makin jelek jaringan xl  Liat youtube aja lambat jaringan jarang full paling bayak tidak pernah full  Telepon seluler putus putus  Tolong di perbaiki seperti semulaa  Terima kasihh,toling dong teh maya bapak ibu jaringan di kampung saya makin kesini makin jelek jaringan xl  liat youtube aja lambat jaringan jarang full paling bayak tidak pernah full  telepon seluler putus putus  tolong di perbaiki seperti semulaa  terima kasihh
ya kenapa sekarang data ga bisa di timbun masa data yang kemarin masih ada  gb pas beli lagi kuota malah hilang yang  gb nya  ga mau rugi ya,ya kenapa sekarang data ga bisa di timbun masa data yang kemarin masih ada  gb pas beli lagi kuota malah hilang yang  gb nya  ga mau rugi ya
Katany unlimetid turbo ketika kuota utama habis trus yg unlimited nya kok jadi loading trus  klau dlu lancar bagus skrng jadi loading trus gk lancar tolong perbaiki,katany unlimetid turbo ketika kuota utama habis trus yg unlimited nya kok jadi loading trus  klau dlu lancar bagus skrng jadi loading trus gk lancar tolong perbaiki
XL kenapa sikayak gini sekarang  males gue jadinya  sia duit gue  kuota gue  kagak bisa ngapa ngapain  dahlah,xl kenapa sikayak gini sekarang  males gue jadinya  sia duit gue  kuota gue  kagak bisa ngapa ngapain  dahlah
Tidak di rekomendasikan lg utk xl karena makin kesini makin buruk Gak sukaa pokoknyaa Gak akan lagi pake xl,tidak di rekomendasikan lg utk xl karena makin kesini makin buruk gak sukaa pokoknyaa gak akan lagi pake xl
Sinyal benerin bos setiap ujan aja jelek nh sinyal  padahal di Jakarta barat  paket aja di mahalin  kualitas sama kaya yang murah,sinyal benerin bos setiap ujan aja jelek nh sinyal  padahal di jakarta barat  paket aja di mahalin  kualitas sama kaya yang murah
Kenapa saya melakukan pembelian paket yang sama tetapi jumlah kuota tidak bertambah malah tergantikan oleh yang baru,kenapa saya melakukan pembelian paket yang sama tetapi jumlah kuota tidak bertambah malah tergantikan oleh yang baru
Sangat membantu  dan paket nya murah meriah  pas di kantong,sangat membantu  dan paket nya murah meriah  pas di kantong
Isinya  % komentar negatif semua  Dan semua dijawab silahkan hubungi maya myxl dll  Jawabannya sama semua  Mohon maaf dan silahkan hubungi costumer service  Jadi ragu mau lanjut,isinya  % komentar negatif semua  dan semua dijawab silahkan hubungi maya myxl dll  jawabannya sama semua  mohon maaf dan silahkan hubungi costumer service  jadi ragu mau lanjut
Aplikasi ini juga bisa digunakan sebagai bahan dasar pembuatan website toko online seperti pulsa & paket,aplikasi ini juga bisa digunakan sebagai bahan dasar pembuatan website toko online seperti pulsa & paket
Coba perbaiki masa gk bisa ambil hadiah tar saya kasih bintang untuk sekrang dlu,coba perbaiki masa gk bisa ambil hadiah tar saya kasih bintang untuk sekrang dlu
Mulai kumat Nggak stabil  Untuk daerah pelosok masih belum ada jaringam yg bagus,mulai kumat nggak stabil  untuk daerah pelosok masih belum ada jaringam yg bagus
Jaringannya hancur banget terutama jaringan internet  apalagi untuk daerah pedesaan padahal daerah pedesaan rata pakai XL tapi jaringannya tidak pernah di perhatikan  Tower dekat tapi jaringan buruk,jaringannya hancur banget terutama jaringan internet  apalagi untuk daerah pedesaan padahal daerah pedesaan rata pakai xl tapi jaringannya tidak pernah di perhatikan  tower dekat tapi jaringan buruk
tolong promo kuotanya lebih di banyakin  kalau terlalu mahal bisa ganti perdana lain  terimakasih,tolong promo kuotanya lebih di banyakin  kalau terlalu mahal bisa ganti perdana lain  terimakasih
lebih gampang milih paketnya  keterangannya juga jelas banget  mantap deh,lebih gampang milih paketnya  keterangannya juga jelas banget  mantap deh
My XL masih belum bisa digunakan  udah beberapa kali bilang ke Maya  bilangnya suruh di uninstall lalu coba download lagi hapus data udah di lakuin semua bahkan sampe beberapa kali masih tetap gak bisa padahal saya pengguna lama  Karna saya ganti hp  saya download di hp baru malahan kga bisa dan gak ngebantu juga si Maya  Terpaksa ganti kartu KECEWA AKU,my xl masih belum bisa digunakan  udah beberapa kali bilang ke maya  bilangnya suruh di uninstall lalu coba download lagi hapus data udah di lakuin semua bahkan sampe beberapa kali masih tetap gak bisa padahal saya pengguna lama  karna saya ganti hp  saya download di hp baru malahan kga bisa dan gak ngebantu juga si maya  terpaksa ganti kartu kecewa aku
Bgs Eh tapi boong ,bgs eh tapi boong 
dari dulu sejak sekolah SMA selalu pakai XL tolong ya kak jaringan XL di stabilkan lagi sukses slalu XL axiata,dari dulu sejak sekolah sma selalu pakai xl tolong ya kak jaringan xl di stabilkan lagi sukses slalu xl axiata
Saya mau melakukan pembelian paket tapi kenapa tidak bisa heran terjadi kesalahan maksudnya apa makin lama xl makin ngk jelas,saya mau melakukan pembelian paket tapi kenapa tidak bisa heran terjadi kesalahan maksudnya apa makin lama xl makin ngk jelas
Kartu xl makin lama sinyal nya makin kayak sampah mau di mana aja di bawa pasti sama aja sinyal nya hilang hilang kecewa berat pakai kartu ini maaf buat provider xl saya gak mau pakai kartu anda lagi merasa rugi,kartu xl makin lama sinyal nya makin kayak sampah mau di mana aja di bawa pasti sama aja sinyal nya hilang hilang kecewa berat pakai kartu ini maaf buat provider xl saya gak mau pakai kartu anda lagi merasa rugi
Aplikasi berjalan dengan baik  cuman lebih di tingkatkan kualitas app nya  jgn kalau log in atau memulai transaksi malah mengalami gangguan,aplikasi berjalan dengan baik  cuman lebih di tingkatkan kualitas app nya  jgn kalau log in atau memulai transaksi malah mengalami gangguan
Heran saya awalnya signal XL baik  saja walau kadang naik turun hari ini kenapa susah sekali yaa signal XL sampe gak ada signal yang muncul di layar hape,heran saya awalnya signal xl baik  saja walau kadang naik turun hari ini kenapa susah sekali yaa signal xl sampe gak ada signal yang muncul di layar hape
alhamdulilah pelayanan mulai membaik  sekarang sudah bisa transaksi pembelian di aplikasi myXL  terus tingkatkan pelayanan,alhamdulilah pelayanan mulai membaik  sekarang sudah bisa transaksi pembelian di aplikasi myxl  terus tingkatkan pelayanan
Tolong apk nya di perbaiki kembali  Dikarnakan sering lag saat melakukan transaksi maupun pengecekan data  Semoga segera di perbaiki agar pengguna yang lain puas,tolong apk nya di perbaiki kembali  dikarnakan sering lag saat melakukan transaksi maupun pengecekan data  semoga segera di perbaiki agar pengguna yang lain puas
Terimakasih admin  Aplikasi ini sangat membantu saya sebagai pelanggan Kartu XL,terimakasih admin  aplikasi ini sangat membantu saya sebagai pelanggan kartu xl
Terima ksih xl telah memberikan promo  yg sangat mantap semoga kedepannya xl terus memberikan promo kepada pelanggannya,terima ksih xl telah memberikan promo  yg sangat mantap semoga kedepannya xl terus memberikan promo kepada pelanggannya
Hp diam sendirian  gak disentuh ber jam jam  tau tau muncul Anda sedang menikmati internet dengan tarif normal Rp rb MB  Mau YOUTUBE tanpa kuota  Pilih Pkt XTRA Combo di * Padahal data dan juga wifi tidak ada yang aktif  Pulsa jadi berkurang sendiri  Itu namanya pencurian pulsa  coba dikali berapa banyak pelanggan  perusahaan besar begitu  kok berkelakuan kotor,hp diam sendirian  gak disentuh ber jam jam  tau tau muncul anda sedang menikmati internet dengan tarif normal rp rb mb  mau youtube tanpa kuota  pilih pkt xtra combo di * padahal data dan juga wifi tidak ada yang aktif  pulsa jadi berkurang sendiri  itu namanya pencurian pulsa  coba dikali berapa banyak pelanggan  perusahaan besar begitu  kok berkelakuan kotor
Paket youtube hari unlimited baru diaktifin semalem puku pagi udah abis  gila xl males guw make xl lagi pembohong buang xl anjrit,paket youtube hari unlimited baru diaktifin semalem puku pagi udah abis  gila xl males guw make xl lagi pembohong buang xl anjrit
Sinyal tolong di perbaiki lagi ya kemaren saya kesel bnget sinyal gc ada,sinyal tolong di perbaiki lagi ya kemaren saya kesel bnget sinyal gc ada
Makin baik aja nih aplikasinya  Banyak fitur dan benefitnya sekarang  Mulai dari lock pulsa  dan bonus  yg lain  Sukes terus MyXL,makin baik aja nih aplikasinya  banyak fitur dan benefitnya sekarang  mulai dari lock pulsa  dan bonus  yg lain  sukes terus myxl
Saya kasih bintang bukan karna maya  karna jaringannya XL bagi saya pribadi sangatlah membatu  Pertahankan kualitas jaringan internetnya ok,saya kasih bintang bukan karna maya  karna jaringannya xl bagi saya pribadi sangatlah membatu  pertahankan kualitas jaringan internetnya ok
Mau bilang jelek bingung mau bilang bagus agak tidak layak  buat sosmed lancar tapi buar ngegame langsung lag sinyal ilang terus,mau bilang jelek bingung mau bilang bagus agak tidak layak  buat sosmed lancar tapi buar ngegame langsung lag sinyal ilang terus
Bisa gak perbaiki jaringan nya Makin hari makin parah aja niih jaringan Kuota banyak tapi ga bisa buat apa Lelet amat nih jaringan,bisa gak perbaiki jaringan nya makin hari makin parah aja niih jaringan kuota banyak tapi ga bisa buat apa lelet amat nih jaringan
Kenapa saya tidak pernah dapat diskon kuota dari xl padahal teman saya selalu dapat saya juga rutin beli paket,kenapa saya tidak pernah dapat diskon kuota dari xl padahal teman saya selalu dapat saya juga rutin beli paket
Semenjak ganti pascabayar kok malah jadi lemot yaa sebelum nya lancar lancar aja,semenjak ganti pascabayar kok malah jadi lemot yaa sebelum nya lancar lancar aja
Ampun deh baru kali ini isi paket akrab baru hari udh mau hbs pdhl bulan sebelumnya bisa sampe  har kenapa ya perasaan kok skrg cepet bgt habis kuotanya pdhl aplikasi yg di gunakan juga hampir sama setiap blnnya & masih di bilang normal sedih deh tgl segini udh harus isi booster lagi  pdhl seborosnya pemakaian aplikasi di hari ke atau baru booster lagi  Jadi mikir lagi kalo terusan ky gini ,ampun deh baru kali ini isi paket akrab baru hari udh mau hbs pdhl bulan sebelumnya bisa sampe  har kenapa ya perasaan kok skrg cepet bgt habis kuotanya pdhl aplikasi yg di gunakan juga hampir sama setiap blnnya & masih di bilang normal sedih deh tgl segini udh harus isi booster lagi  pdhl seborosnya pemakaian aplikasi di hari ke atau baru booster lagi  jadi mikir lagi kalo terusan ky gini 
sangat membantu  yg terpenting terus tingkatkan perfom nya itu aja yg ingin gw bilang  terimakasih,sangat membantu  yg terpenting terus tingkatkan perfom nya itu aja yg ingin gw bilang  terimakasih
Masa aku gak ngeaktipin data tapi pulsaku ribu habis sendiri  padahal aku pakai wifi loh,masa aku gak ngeaktipin data tapi pulsaku ribu habis sendiri  padahal aku pakai wifi loh
tolong diperbaiki lgi jaringan dan aplikasinya kadang suka error pada saat buka apknya itu saja,tolong diperbaiki lgi jaringan dan aplikasinya kadang suka error pada saat buka apknya itu saja
Lah gw pake xl sinyal aman aman aja kaga ada lag lagan Malahan enakan xl daripada si telkom Gw lokasi di kampung tapi sinyal joss mantep,lah gw pake xl sinyal aman aman aja kaga ada lag lagan malahan enakan xl daripada si telkom gw lokasi di kampung tapi sinyal joss mantep
sinyal bagus tapi gak bisa buka sosmed  padahal dekat sama tower loh  mau buka my xl aja gak bisa,sinyal bagus tapi gak bisa buka sosmed  padahal dekat sama tower loh  mau buka my xl aja gak bisa
Sinyal makin lemah internet lambat padahal paket combo VIP combo reguler sama saja lemotnya  Tlng tingkatkan lagi jaringan inet nya serasa Edge  parah deh  Update  Untuk saat ini Diluar ruangan cukup bagus tapi didalam ruangan  dirumah di kantor  lemot banget speed internet nya  Tolong perkuat dong jangkauan sinyal inet nya Trims Update  di indoor makin parah sinyal inet nya  makin lemot  apalagi musim hujan begini signal very down Hhrghh bikin emozi aja,sinyal makin lemah internet lambat padahal paket combo vip combo reguler sama saja lemotnya  tlng tingkatkan lagi jaringan inet nya serasa edge  parah deh  update  untuk saat ini diluar ruangan cukup bagus tapi didalam ruangan  dirumah di kantor  lemot banget speed internet nya  tolong perkuat dong jangkauan sinyal inet nya trims update  di indoor makin parah sinyal inet nya  makin lemot  apalagi musim hujan begini signal very down hhrghh bikin emozi aja
Saya reload tiap beberapa detik kemudian harga paketnya suka berubah berubah,saya reload tiap beberapa detik kemudian harga paketnya suka berubah berubah
PROVIDER KERAJAAN NYA HANYA MOLOR JARINGAN SEMAKIN HARI SEMAKIN BUSUK CUSTOMER TIDAK DI PRIORITASKAN KLO TIDAK ADA KAMI KALIAN MAU MAKAN APA BEKERJALAH SEBAIKNYA JANGAN HANYA CUAN,provider kerajaan nya hanya molor jaringan semakin hari semakin busuk customer tidak di prioritaskan klo tidak ada kami kalian mau makan apa bekerjalah sebaiknya jangan hanya cuan
XL Napa si kalo mau beli paket combo mini Eror Mulu kaga jelas banget padahal masi ada sisa paketan buat isi kuota nya najiss,xl napa si kalo mau beli paket combo mini eror mulu kaga jelas banget padahal masi ada sisa paketan buat isi kuota nya najiss
Sinyal jelek  layanan aplikasi xl tidak memuaskan  pemberitahuan kuota habis selalu menguras pulsa yg ada dulu baru notofication keluar,sinyal jelek  layanan aplikasi xl tidak memuaskan  pemberitahuan kuota habis selalu menguras pulsa yg ada dulu baru notofication keluar
Saya pakai XL hampir tahun Pakai aplikasi my XL udah  tahunan Sabar saya sabar kalo tiba tiba aplikasi myxl keluar sendiri pas daftar paket Sabar saya benar benar sabar Tapi tolong diperbaiki biar tidak terus seperti ini Saya setia pake XL jadi mohon diperbaiki,saya pakai xl hampir tahun pakai aplikasi my xl udah  tahunan sabar saya sabar kalo tiba tiba aplikasi myxl keluar sendiri pas daftar paket sabar saya benar benar sabar tapi tolong diperbaiki biar tidak terus seperti ini saya setia pake xl jadi mohon diperbaiki
Lagi serba online pak  mau ngisi kuota  kenapa gabisa sih Status mas perbaikan nya sampai kapan,lagi serba online pak  mau ngisi kuota  kenapa gabisa sih status mas perbaikan nya sampai kapan
Pembaruan sampai jam berapa ini kak rabu februari jam sampai jam berapa,pembaruan sampai jam berapa ini kak rabu februari jam sampai jam berapa
Kemaren promo  gb  rb lumayan sih sebulan ga abis malah kebuang Saran kalo kuota banyak masa aktif kuotanya di tambahin kak Atau bikin menu tambah masa aktif kuota biar ga buang  kuota Kemaren dapet promo lg  gb  rb Alhamdulillah promo ga pernah mengecewakan ,kemaren promo  gb  rb lumayan sih sebulan ga abis malah kebuang saran kalo kuota banyak masa aktif kuotanya di tambahin kak atau bikin menu tambah masa aktif kuota biar ga buang  kuota kemaren dapet promo lg  gb  rb alhamdulillah promo ga pernah mengecewakan 
Mohon maaf sebelumbya  Kenapa pas saya masukkan kode voucer GB  terus ada notifikasi masuk dan di teruskan untuk scan voucer  setelah sya download alpikasi myxl  terus sya scan ternyata tdk ada apa malahan sya rugi karna voucer yg saya beli  itu ternyata tdk ada apa apa dan setiap login di myxl  biar menggunakan hostpot Wifi tetapi keterangan cek koneksi internet Maksudnya apa ini bos Sudah beli kuota mahal  tetapi tidak bisa di gunakan Jadi kedapannya harus di perbaiki lagi,mohon maaf sebelumbya  kenapa pas saya masukkan kode voucer gb  terus ada notifikasi masuk dan di teruskan untuk scan voucer  setelah sya download alpikasi myxl  terus sya scan ternyata tdk ada apa malahan sya rugi karna voucer yg saya beli  itu ternyata tdk ada apa apa dan setiap login di myxl  biar menggunakan hostpot wifi tetapi keterangan cek koneksi internet maksudnya apa ini bos sudah beli kuota mahal  tetapi tidak bisa di gunakan jadi kedapannya harus di perbaiki lagi
Kenapa sih setiap buka nya eror  Gonta ganti jaringan sama aja  Kaya aplikasi ukuran  GB aja  Lemot,kenapa sih setiap buka nya eror  gonta ganti jaringan sama aja  kaya aplikasi ukuran  gb aja  lemot
Buka YouTube bisa wa lancar masuk ke myxl tidak ada koneksi XL sehat,buka youtube bisa wa lancar masuk ke myxl tidak ada koneksi xl sehat
Hari hari kalau mau beli paket lagi masuk my xl susahnya minta ampun  udah pake versi paling baru padahal  ini maaf klo saya bandingkan dengan my telkomsel dan indosat jauh bgt  Kedua aplikasi itu on point ga pernah kaya my xl sering kali aku kesulitam login  Tolong lah di fix pak  Mohon maaf sebelumnya  saya tidak bermaksud apapun  cuma menyampaikan apa yg saya kesalkan  saya juga pengguna xl sejak lama Karna dari dulu di daerah saya paling enak xl doang,hari hari kalau mau beli paket lagi masuk my xl susahnya minta ampun  udah pake versi paling baru padahal  ini maaf klo saya bandingkan dengan my telkomsel dan indosat jauh bgt  kedua aplikasi itu on point ga pernah kaya my xl sering kali aku kesulitam login  tolong lah di fix pak  mohon maaf sebelumnya  saya tidak bermaksud apapun  cuma menyampaikan apa yg saya kesalkan  saya juga pengguna xl sejak lama karna dari dulu di daerah saya paling enak xl doang
