Ulasan,cleansing
Sebenarnya bagi masyarakat awam cukup pintar untuk: merestart device kalian > switch ke kartu lain/kartu xl yg serupa agar tidak terjadi crash atau keluar apps sendiri > membersihkan penyimpanan internal agar tidak terjadi lemot pada device jika hal hal lain seperti terpotong pulsa lebih baik anda semua pilih fitur kontrol pulsa pada laman pengaturan Sekian dari saya terimakasih ðŸ™ðŸ‘,Sebenarnya bagi masyarakat awam cukup pintar untuk  merestart device kalian switch ke kartu lain kartu xl yg serupa agar tidak terjadi crash atau keluar apps sendiri membersihkan penyimpanan internal agar tidak terjadi lemot pada device jika hal hal lain seperti terpotong pulsa lebih baik anda semua pilih fitur kontrol pulsa pada laman pengaturan Sekian dari saya terimakasih 
"Harga sdh oke, lbh terjangkau dr yg lain, tapi kualitas jaringan Sangat MENGECEWAKAN, TIDAK STABIL, bahkan signalnya SERING ilang-ilangan!! Percuma kuota besar tapi LEMOT PARAH ... . Tolong PERBAIKI!!",Harga sdh oke  lbh terjangkau dr yg lain  tapi kualitas jaringan Sangat MENGECEWAKAN  TIDAK STABIL  bahkan signalnya SERING ilang ilangan Percuma kuota besar tapi LEMOT PARAH Tolong PERBAIKI
Kenapa sinyal XL kalau malem jelek banget tapi kalau siang bagus banget?,Kenapa sinyal XL kalau malem jelek banget tapi kalau siang bagus banget
"Seru banget. Saya baru beli paket bayar pake pulsa. Trus masih ada sisa pulsa 30rebuu. paketnya emang udah masuk sihh, trus on data buka ini itu yang kesedot pulsanya kipakkk, mana abis tuh 30rebu Kipakk. Plislah untuk xl kalo mau nyedot pulsa usahakan ada konfirmasi atau tidaknya. Soalnya kakak saya juga sering ngalamin seperti itu. Saya dan kakak saya pelanggan setia xl but xl jaringan lumayan bagus dan terkadang ada diskon gede""an Jadi tolong ya di perbaiki lagi agar tidak mengcewan pelanggan",Seru banget  Saya baru beli paket bayar pake pulsa  Trus masih ada sisa pulsa  rebuu  paketnya emang udah masuk sihh  trus on data buka ini itu yang kesedot pulsanya kipak  mana abis tuh  rebu Kipakk  Plislah untuk xl kalo mau nyedot pulsa usahakan ada konfirmasi atau tidaknya  Soalnya kakak saya juga sering ngalamin seperti itu  Saya dan kakak saya pelanggan setia xl but xl jaringan lumayan bagus dan terkadang ada diskon gede an Jadi tolong ya di perbaiki lagi agar tidak mengcewan pelanggan
"Mahal,harga tidak merakyat, kuotanya kebanyakan buat youtubeanðŸ˜¡;kuota internet digedein harusnya sisanya kuota youtubeðŸ˜¡, 3 giga buat seminggu cukup buat apa?di pikir dong yg realistis,situ kan orang pintarðŸ˜¡",Mahal harga tidak merakyat  kuotanya kebanyakan buat youtubean kuota internet digedein harusnya sisanya kuota youtube giga buat seminggu cukup buat apa di pikir dong yg realistis situ kan orang pintar
Bagus sekali apk nya saya suka ðŸ˜ðŸ˜ðŸ˜ terima kasih my XL sudah memberi kami paket data 1gb,Bagus sekali apk nya saya suka  terima kasih my XL sudah memberi kami paket data  gb
"Mau login susah bener, autentikasi gagal mulu... padhal dah masukin otp... mohon dijawab.",Mau login susah bener  autentikasi gagal mulu padhal dah masukin otp mohon dijawab
"Aplikasi selalu terhenti jadi gak bisa di buka, sudah uninstal dan instal lagi yg baru tapi tetap aplikasi terhenti atau aplikasi myXL tidak menanggapi..",Aplikasi selalu terhenti jadi gak bisa di buka  sudah uninstal dan instal lagi yg baru tapi tetap aplikasi terhenti atau aplikasi myXL tidak menanggapi
"Koneksi internet sering hilang dan lemot bisa dari pagi sampe malem, cuman bisa internetan beberapa menit abis itu ilang lagi terus aja begitu... Masalahnya bukan saya doang yg begitu, orang dekat saya juga merasakannya",Koneksi internet sering hilang dan lemot bisa dari pagi sampe malem  cuman bisa internetan beberapa menit abis itu ilang lagi terus aja begitu Masalahnya bukan saya doang yg begitu  orang dekat saya juga merasakannya
"tolong dirubah lagi lah untuk penjualan masa aktif kartu,cepet banget masa tenggangnya di isi 10 /20 ribu ga nyampe sebulan masa aktif dan ada juga jualan masa aktif..saran saya buang budaya itu,saya sebagai pengguna baru cukup kaget dengan kebijakan seperti itu,saya tidak sedang membandingkan dengan provider lain..hanya saja saya ngasih saran..terimakasij",tolong dirubah lagi lah untuk penjualan masa aktif kartu cepet banget masa tenggangnya di isi ribu ga nyampe sebulan masa aktif dan ada juga jualan masa aktif  saran saya buang budaya itu saya sebagai pengguna baru cukup kaget dengan kebijakan seperti itu saya tidak sedang membandingkan dengan provider lain  hanya saja saya ngasih saran  terimakasij
Aplikasi ..myxl .. Aga pelit ... Ga sepirti myim3 ... Isi ulang pulsa ... Bner2 sering dapat bonos kouta 1 gb... Smpai 6 gb... Bner2 yata,Aplikasi myxl Aga pelit Ga sepirti myim Isi ulang pulsa Bner  sering dapat bonos kouta gb Smpai gb Bner  yata
"kenapa setiap saya membuka myXL apk nya selalu keluar sendiri? dulu biasa"" aja dipake sekarang kok malah gini? developer tolong segera perbaiki",kenapa setiap saya membuka myXL apk nya selalu keluar sendiri  dulu biasa  aja dipake sekarang kok malah gini  developer tolong segera perbaiki
mudah dan cepat. terima kasih... sdh melayani saya..selama lebih dari 15 tahun. sekali lagibterimankasih XL,mudah dan cepat  terima kasih sdh melayani saya  selama lebih dari tahun  sekali lagibterimankasih XL
"Lebih praktis & cepat untuk top up , cek kuota , pulsa dll",Lebih praktis & cepat untuk top up cek kuota pulsa dll
"Makin jelek aja astaga aplikasinyaa. Tiap mau dibuka loadingnya lama, dan keluar sendiri terus sblm sempet aktifkan kuota unlimitednya sampe saya hapus terus dwnload lagi apk nya tp ttp aja ngak bisa login ke menunya. PARAHHHHHHHH ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž",Makin jelek aja astaga aplikasinyaa  Tiap mau dibuka loadingnya lama  dan keluar sendiri terus sblm sempet aktifkan kuota unlimitednya sampe saya hapus terus dwnload lagi apk nya tp ttp aja ngak bisa login ke menunya  PARAH 
Aplikasi xl anlimited bisa untuk ambil bonus di saat kita baru isi ulang,Aplikasi xl anlimited bisa untuk ambil bonus di saat kita baru isi ulang
Tolong untuk di tingkat kan LG sinyal nya Krn semenjak XL di beli sm Axis sinyal Nye jd makin parah bgt.,Tolong untuk di tingkat kan LG sinyal nya Krn semenjak XL di beli sm Axis sinyal Nye jd makin parah bgt
ga ada perubahan. masih lelet aja ni xl. tutup aja perusahaan xl. ga guna,ga ada perubahan  masih lelet aja ni xl  tutup aja perusahaan xl  ga guna
Buset dah sinyal nya tinggal di kota berasa tinggal di hutan gak ada sinyal jariangan doang ada internet nya bobrok,Buset dah sinyal nya tinggal di kota berasa tinggal di hutan gak ada sinyal jariangan doang ada internet nya bobrok
sekarang xl sinyalnya sudah bagus. aq pake kartu xl ini sudah lama lebih dari 10th. kartu lain boleh ganti2 tapi kartu xl ini tetap jadi kartu utamaku,sekarang xl sinyalnya sudah bagus  aq pake kartu xl ini sudah lama lebih dari  th  kartu lain boleh ganti  tapi kartu xl ini tetap jadi kartu utamaku
"saya tdk berlangganan mood musik,,main potong aja,,,",saya tdk berlangganan mood musik  main potong aja
"chat di maya dah kaya org bego,ga prnah di respon.....apk ga jelas",chat di maya dah kaya org bego ga prnah di respon apk ga jelas
"Tolong klo cs live chat itu tanggepin , sinyal daerah saya akhir"" ini naik turun",Tolong klo cs live chat itu tanggepin sinyal daerah saya akhir  ini naik turun
"Makin kesini makin gak jelas, susah untuk komunikasi langsung dengan cust servicenya",Makin kesini makin gak jelas  susah untuk komunikasi langsung dengan cust servicenya
Toling dong teh maya bapak ibu jaringan di kampung saya makin kesini makin jelek jaringan xl. Liat youtube aja lambat jaringan jarang full paling bayak 2 - 3 tidak pernah full. Telepon seluler putus putus. Tolong di perbaiki seperti semulaa. Terima kasihh,Toling dong teh maya bapak ibu jaringan di kampung saya makin kesini makin jelek jaringan xl  Liat youtube aja lambat jaringan jarang full paling bayak tidak pernah full  Telepon seluler putus putus  Tolong di perbaiki seperti semulaa  Terima kasihh
"yaaa kenapa sekarang data ga bisa di timbun masa data yang kemarin masih ada 4gb pas beli lagi kuota malah hilang yang 4gb nya, ga mau rugi ya?",ya kenapa sekarang data ga bisa di timbun masa data yang kemarin masih ada  gb pas beli lagi kuota malah hilang yang  gb nya  ga mau rugi ya
Katany unlimetid turbo ..ketika kuota utama habis ..trus yg unlimited nya kok jadi loading trus ðŸ™ klau dlu lancar bagus skrng jadi loading trus gk lancar ..tolong perbaiki,Katany unlimetid turbo ketika kuota utama habis trus yg unlimited nya kok jadi loading trus  klau dlu lancar bagus skrng jadi loading trus gk lancar tolong perbaiki
"XL kenapa sikayak gini sekarang, males gue jadinya, siaÂ² duit gue, kuota gue, kagak bisa ngapa ngapain, dahlah.",XL kenapa sikayak gini sekarang  males gue jadinya  sia duit gue  kuota gue  kagak bisa ngapa ngapain  dahlah
Tidak di rekomendasikan lg utk xl karena makin kesini makin burukkk.. Gak sukaa pokoknyaa.. Gak akan lagi pake xl !!!!,Tidak di rekomendasikan lg utk xl karena makin kesini makin buruk Gak sukaa pokoknyaa Gak akan lagi pake xl
"Sinyal benerin bos setiap ujan aja jelek nh sinyal, padahal w di Jakarta barat. paket aja di mahalin, kualitas sama kaya yang murah",Sinyal benerin bos setiap ujan aja jelek nh sinyal  padahal di Jakarta barat  paket aja di mahalin  kualitas sama kaya yang murah
Kenapa saya melakukan pembelian paket yang sama tetapi jumlah kuota tidak bertambah malah tergantikan oleh yang baru,Kenapa saya melakukan pembelian paket yang sama tetapi jumlah kuota tidak bertambah malah tergantikan oleh yang baru
"Sangat membantu, dan paket nya murah meriah, pas di kantong",Sangat membantu  dan paket nya murah meriah  pas di kantong
Isinya 90% komentar negatif semua. Dan semua dijawab silahkan hubungi maya myxl dll. Jawabannya sama semua. Mohon maaf dan silahkan hubungi costumer service. Jadi ragu mau lanjut,Isinya  % komentar negatif semua  Dan semua dijawab silahkan hubungi maya myxl dll  Jawabannya sama semua  Mohon maaf dan silahkan hubungi costumer service  Jadi ragu mau lanjut
Aplikasi ini juga bisa digunakan sebagai bahan dasar pembuatan website toko online seperti pulsa & paket,Aplikasi ini juga bisa digunakan sebagai bahan dasar pembuatan website toko online seperti pulsa & paket
Coba perbaiki masa gk bisa ambil hadiah tar saya kasih bintang 5 untuk sekrang 4 dlu,Coba perbaiki masa gk bisa ambil hadiah tar saya kasih bintang untuk sekrang dlu
Mulai kumat... Nggak stabil. Untuk daerah pelosok masih belum ada jaringam yg bagus.,Mulai kumat Nggak stabil  Untuk daerah pelosok masih belum ada jaringam yg bagus
"Jaringannya hancur banget terutama jaringan internet, apalagi untuk daerah pedesaan padahal daerah pedesaan rataÂ² pakai XL tapi jaringannya tidak pernah di perhatikan. Tower dekat tapi jaringan buruk.",Jaringannya hancur banget terutama jaringan internet  apalagi untuk daerah pedesaan padahal daerah pedesaan rata pakai XL tapi jaringannya tidak pernah di perhatikan  Tower dekat tapi jaringan buruk
"tolong promo kuotanya lebih di banyakin, kalau terlalu mahal bisa ganti perdana lain, terimakasih",tolong promo kuotanya lebih di banyakin  kalau terlalu mahal bisa ganti perdana lain  terimakasih
lebih gampang milih paketnya. keterangannya juga jelas banget. mantap deh,lebih gampang milih paketnya  keterangannya juga jelas banget  mantap deh
"My XL masih belum bisa digunakan, udah beberapa kali bilang ke Maya, bilangnya suruh di uninstall lalu coba download lagi hapus data , udah di lakuin semua bahkan sampe beberapa kali , masih tetap gak bisa padahal saya pengguna lama, Karna saya ganti hp, saya download di hp baru malahan kga bisa , dan gak ngebantu juga si Maya. Terpaksa ganti kartu , KECEWA AKU !!!",My XL masih belum bisa digunakan  udah beberapa kali bilang ke Maya  bilangnya suruh di uninstall lalu coba download lagi hapus data udah di lakuin semua bahkan sampe beberapa kali masih tetap gak bisa padahal saya pengguna lama  Karna saya ganti hp  saya download di hp baru malahan kga bisa dan gak ngebantu juga si Maya  Terpaksa ganti kartu KECEWA AKU
Bgs!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Eh tapi boong ðŸ˜‚ðŸ˜‚,Bgs Eh tapi boong 
dari dulu sejak sekolah SMA selalu pakai XL . tolong ya kak jaringan XL di stabilkan lagi . sukses slalu XL axiata!!!!,dari dulu sejak sekolah SMA selalu pakai XL tolong ya kak jaringan XL di stabilkan lagi sukses slalu XL axiata
Saya mau melakukan pembelian paket tapi kenapa tidak bisa herannn terjadi kesalahan maksudnya apa makin lama xl makin ngk jelas,Saya mau melakukan pembelian paket tapi kenapa tidak bisa heran terjadi kesalahan maksudnya apa makin lama xl makin ngk jelas
Kartu xl makin lama sinyal nya makin kayak sampah mau di mana aja di bawa pasti sama aja sinyal nya hilang hilang kecewa berat pakai kartu ini maaf buat provider xl saya gak mau pakai kartu anda lagi merasa rugi,Kartu xl makin lama sinyal nya makin kayak sampah mau di mana aja di bawa pasti sama aja sinyal nya hilang hilang kecewa berat pakai kartu ini maaf buat provider xl saya gak mau pakai kartu anda lagi merasa rugi
"Aplikasi berjalan dengan baik, cuman lebih di tingkatkan kualitas app nya, jgn kalau log in atau memulai transaksi malah mengalami gangguan.",Aplikasi berjalan dengan baik  cuman lebih di tingkatkan kualitas app nya  jgn kalau log in atau memulai transaksi malah mengalami gangguan
"Heran saya ... awalnya signal XL baik2 saja walau kadang naik turun , 2 hari ini kenapa susah sekali yaa signal XL sampe gak ada signal yang muncul di layar hape ...",Heran saya awalnya signal XL baik  saja walau kadang naik turun hari ini kenapa susah sekali yaa signal XL sampe gak ada signal yang muncul di layar hape
"alhamdulilah pelayanan mulai membaik, sekarang sudah bisa transaksi pembelian di aplikasi myXL. terus tingkatkan pelayanan.",alhamdulilah pelayanan mulai membaik  sekarang sudah bisa transaksi pembelian di aplikasi myXL  terus tingkatkan pelayanan
Tolong apk nya di perbaiki kembali. Dikarnakan sering lag saat melakukan transaksi maupun pengecekan data. Semoga segera di perbaiki agar pengguna yang lain puas.,Tolong apk nya di perbaiki kembali  Dikarnakan sering lag saat melakukan transaksi maupun pengecekan data  Semoga segera di perbaiki agar pengguna yang lain puas
Terimakasih admin. Aplikasi ini sangat membantu saya sebagai pelanggan Kartu XL.,Terimakasih admin  Aplikasi ini sangat membantu saya sebagai pelanggan Kartu XL
Terima ksih xl telah memberikan promo2 yg sangat mantap...semoga kedepannya xl terus memberikan promo kepada pelanggannya,Terima ksih xl telah memberikan promo  yg sangat mantap semoga kedepannya xl terus memberikan promo kepada pelanggannya
"Hp diam sendirian, gak disentuh ber jam jam, tau tau muncul : Anda sedang menikmati internet dengan tarif normal Rp1rb/MB. Mau YOUTUBE tanpa kuota? Pilih Pkt XTRA Combo di *123# Padahal data dan juga wifi tidak ada yang aktif, Pulsa jadi berkurang sendiri. Itu namanya pencurian pulsa, coba dikali berapa banyak pelanggan, perusahaan besar begitu, kok berkelakuan kotor",Hp diam sendirian  gak disentuh ber jam jam  tau tau muncul Anda sedang menikmati internet dengan tarif normal Rp rb MB  Mau YOUTUBE tanpa kuota  Pilih Pkt XTRA Combo di * Padahal data dan juga wifi tidak ada yang aktif  Pulsa jadi berkurang sendiri  Itu namanya pencurian pulsa  coba dikali berapa banyak pelanggan  perusahaan besar begitu  kok berkelakuan kotor
"Paket youtube 1 hari unlimited baru diaktifin semalem puku 24.00 ,pagi udah abis ,gila xl males guw make xl lagi pembohong,buang xl anjrittt",Paket youtube hari unlimited baru diaktifin semalem puku pagi udah abis  gila xl males guw make xl lagi pembohong buang xl anjrit
Sinyal tolong di perbaiki lagi ya...kemaren saya kesel bnget sinyal gc ada,Sinyal tolong di perbaiki lagi ya kemaren saya kesel bnget sinyal gc ada
"Makin baik aja nih aplikasinya. Banyak fitur dan benefitnya sekarang. Mulai dari lock pulsa, dan bonus2 yg lain. Sukes terus MyXL",Makin baik aja nih aplikasinya  Banyak fitur dan benefitnya sekarang  Mulai dari lock pulsa  dan bonus  yg lain  Sukes terus MyXL
Saya kasih bintang 5 bukan karna maya..karna jaringannya XL bagi saya pribadi sangatlah membatu. Pertahankan kualitas jaringan internetnya ok..,Saya kasih bintang bukan karna maya  karna jaringannya XL bagi saya pribadi sangatlah membatu  Pertahankan kualitas jaringan internetnya ok
"Mau bilang jelek bingung mau bilang bagus agak tidak layak, buat sosmed lancar tapi buar ngegame langsung lag sinyal ilang terus",Mau bilang jelek bingung mau bilang bagus agak tidak layak  buat sosmed lancar tapi buar ngegame langsung lag sinyal ilang terus
Bisa gak perbaiki jaringan nya ? Makin hari makin parah aja niih jaringan .. Kuota banyak tapi ga bisa buat apa2 .. Lelet amat nih jaringan,Bisa gak perbaiki jaringan nya Makin hari makin parah aja niih jaringan Kuota banyak tapi ga bisa buat apa Lelet amat nih jaringan
Kenapa saya tidak pernah dapat diskon kuota dari xl padahal teman saya selalu dapat.saya juga rutin beli paket,Kenapa saya tidak pernah dapat diskon kuota dari xl padahal teman saya selalu dapat saya juga rutin beli paket
"Semenjak ganti pascabayar kok malah jadi lemot yaa?, sebelum nya lancar lancar aja.",Semenjak ganti pascabayar kok malah jadi lemot yaa sebelum nya lancar lancar aja
"Ampun deh baru kali ini isi paket akrab baru 8 hari udh mau hbs.. pdhl bulanÂ² sebelumnya bisa sampe 30har,, kenapa ya perasaan kok skrg cepet bgt habis kuotanya pdhl aplikasi yg di gunakan juga hampir sama setiap blnnya & masih di bilang normal sedih deh tgl segini udh harus isi booster lagi, pdhl seborosÂ²nya pemakaian aplikasi di hari ke 20 atau 25 baru booster lagi ðŸ¥ºðŸ¥ºðŸ¥º Jadi mikir lagi kalo terusÂ²an ky gini ðŸ˜¥",Ampun deh baru kali ini isi paket akrab baru hari udh mau hbs pdhl bulan sebelumnya bisa sampe  har kenapa ya perasaan kok skrg cepet bgt habis kuotanya pdhl aplikasi yg di gunakan juga hampir sama setiap blnnya & masih di bilang normal sedih deh tgl segini udh harus isi booster lagi  pdhl seborosnya pemakaian aplikasi di hari ke atau baru booster lagi  Jadi mikir lagi kalo terusan ky gini 
"sangat membantu, yg terpenting terus tingkatkan perfom nya itu aja yg ingin gw bilang, terimakasih.",sangat membantu  yg terpenting terus tingkatkan perfom nya itu aja yg ingin gw bilang  terimakasih
"Masa aku gak ngeaktipin data tapi pulsaku 20 ribu habis sendiri, padahal aku pakai wifi loh.",Masa aku gak ngeaktipin data tapi pulsaku ribu habis sendiri  padahal aku pakai wifi loh
tolong diperbaiki lgi jaringan dan aplikasinya kadang suka error pada saat buka apknya itu saja,tolong diperbaiki lgi jaringan dan aplikasinya kadang suka error pada saat buka apknya itu saja
Lah gw pake xl sinyal aman aman aja kaga ada lag lagan Malahan enakan xl daripada si telkom Gw lokasi di kampung tapi sinyal joss mantep,Lah gw pake xl sinyal aman aman aja kaga ada lag lagan Malahan enakan xl daripada si telkom Gw lokasi di kampung tapi sinyal joss mantep
"sinyal bagus tapi gak bisa buka sosmed, padahal dekat sama tower loh, mau buka my xl aja gak bisa",sinyal bagus tapi gak bisa buka sosmed  padahal dekat sama tower loh  mau buka my xl aja gak bisa
"Sinyal makin lemah,internet lambat padahal paket combo VIP/combo reguler sama saja lemotnya. Tlng tingkatkan lagi jaringan inet nya, 4G serasa 2G/ Edge, parah deh. Update: Untuk saat ini Diluar ruangan cukup bagus tapiiii...didalam ruangan, dirumah,di kantor, lemot banget speed internet nya. Tolong perkuat dong jangkauan sinyal inet nya.Trims... Update: di indoor makin parah sinyal inet nya, makin lemot, apalagi musim hujan begini signal very down....Hhhhrrrggghh bikin emozi aja.",Sinyal makin lemah internet lambat padahal paket combo VIP combo reguler sama saja lemotnya  Tlng tingkatkan lagi jaringan inet nya serasa Edge  parah deh  Update  Untuk saat ini Diluar ruangan cukup bagus tapi didalam ruangan  dirumah di kantor  lemot banget speed internet nya  Tolong perkuat dong jangkauan sinyal inet nya Trims Update  di indoor makin parah sinyal inet nya  makin lemot  apalagi musim hujan begini signal very down Hhrghh bikin emozi aja
Saya reload tiap beberapa detik kemudian harga paketnya suka berubah berubah.,Saya reload tiap beberapa detik kemudian harga paketnya suka berubah berubah
"PROVIDER KERAJAAN'NYA HANYA MOLOR !!! JARINGAN SEMAKIN HARI SEMAKIN BUSUK !!! CUSTOMER TIDAK DI PRIORITASKAN !!! KLO TIDAK ADA KAMI KALIAN MAU MAKAN APA !!! BEKERJALAH SEBAIKÂ²NYA , JANGAN HANYA CUAN !!!",PROVIDER KERAJAAN NYA HANYA MOLOR JARINGAN SEMAKIN HARI SEMAKIN BUSUK CUSTOMER TIDAK DI PRIORITASKAN KLO TIDAK ADA KAMI KALIAN MAU MAKAN APA BEKERJALAH SEBAIKNYA JANGAN HANYA CUAN
XL Napa si kalo mau beli paket combo mini Eror Mulu kaga jelas banget padahal masi ada sisa paketan buat isi kuota nya najiss,XL Napa si kalo mau beli paket combo mini Eror Mulu kaga jelas banget padahal masi ada sisa paketan buat isi kuota nya najiss
"Sinyal jelek, layanan aplikasi xl tidak memuaskan, pemberitahuan kuota habis selalu menguras pulsa yg ada dulu baru notofication keluar",Sinyal jelek  layanan aplikasi xl tidak memuaskan  pemberitahuan kuota habis selalu menguras pulsa yg ada dulu baru notofication keluar
Saya pakai XL hampir 5 tahun Pakai aplikasi my XL udah 3tahunan Sabar saya sabar kalo tiba-tiba aplikasi myxl keluar sendiri pas daftar paket Sabar saya benar-benar sabar Tapi tolong diperbaiki biar tidak terus seperti ini Saya setia pake XL jadi mohon diperbaiki,Saya pakai XL hampir tahun Pakai aplikasi my XL udah  tahunan Sabar saya sabar kalo tiba tiba aplikasi myxl keluar sendiri pas daftar paket Sabar saya benar benar sabar Tapi tolong diperbaiki biar tidak terus seperti ini Saya setia pake XL jadi mohon diperbaiki
"Lagi serba online pak, mau ngisi kuota, kenapa gabisa sih ????! Status mas perbaikan nya sampai kapan ???!",Lagi serba online pak  mau ngisi kuota  kenapa gabisa sih Status mas perbaikan nya sampai kapan
Pembaruan sampai jam berapa ini kak rabu 09 februari 2022 jam 18.15 sampai jam berapa??,Pembaruan sampai jam berapa ini kak rabu februari jam sampai jam berapa
