userName,score,at,Ulasan,Sentimen Widi,Sentimen Nanda,"Sentimen Dra. UMI KOLISOH, M.Pd",Sentimen,Keterangan:,Cleaning,HapusEmoji,cleansing,CaseFolding,Tokenizing,Formalisasi,Stopword Removal,Stemming_list,Stemming
Mamet BZ,3,2022-02-01 16:58:00,"Untuk aplikasi jujur sangat bagus, tapi tolong di perbaiki masalah jaringan internet nya, sering sekali terjadi gangguan tiba-tiba signal menghilang dan darurat, kecepatan jaringan internet diperbaiki, saya pengguna setia XL sangat kecewa trmksh, sangat dengan tolong lah diperbaiki jaringan internetnya",2,2,2,1,,Untuk aplikasi jujur sangat bagus  tapi tolong di perbaiki masalah jaringan internet nya  sering sekali terjadi gangguan tiba tiba signal menghilang dan darurat  kecepatan jaringan internet diperbaiki  saya pengguna setia XL sangat kecewa trmksh  sangat dengan tolong lah diperbaiki jaringan internetnya,Untuk aplikasi jujur sangat bagus  tapi tolong di perbaiki masalah jaringan internet nya  sering sekali terjadi gangguan tiba tiba signal menghilang dan darurat  kecepatan jaringan internet diperbaiki  saya pengguna setia XL sangat kecewa trmksh  sangat dengan tolong lah diperbaiki jaringan internetnya,Untuk aplikasi jujur sangat bagus  tapi tolong di perbaiki masalah jaringan internet nya  sering sekali terjadi gangguan tiba tiba signal menghilang dan darurat  kecepatan jaringan internet diperbaiki  saya pengguna setia XL sangat kecewa trmksh  sangat dengan tolong lah diperbaiki jaringan internetnya,untuk aplikasi jujur sangat bagus  tapi tolong di perbaiki masalah jaringan internet nya  sering sekali terjadi gangguan tiba tiba signal menghilang dan darurat  kecepatan jaringan internet diperbaiki  saya pengguna setia xl sangat kecewa trmksh  sangat dengan tolong lah diperbaiki jaringan internetnya,"['untuk', 'aplikasi', 'jujur', 'sangat', 'bagus', 'tapi', 'tolong', 'di', 'perbaiki', 'masalah', 'jaringan', 'internet', 'nya', 'sering', 'sekali', 'terjadi', 'gangguan', 'tiba', 'tiba', 'signal', 'menghilang', 'dan', 'darurat', 'kecepatan', 'jaringan', 'internet', 'diperbaiki', 'saya', 'pengguna', 'setia', 'xl', 'sangat', 'kecewa', 'trmksh', 'sangat', 'dengan', 'tolong', 'lah', 'diperbaiki', 'jaringan', 'internetnya']","['untuk', 'aplikasi', 'jujur', 'sangat', 'bagus', 'tapi', 'tolong', 'di', 'perbaiki', 'masalah', 'jaringan', 'internet', 'nya', 'sering', 'sekali', 'terjadi', 'gangguan', 'tiba', 'tiba', 'sinyal', 'menghilang', 'dan', 'darurat', 'kecepatan', 'jaringan', 'internet', 'diperbaiki', 'saya', 'pengguna', 'setia', 'xl', 'sangat', 'kecewa', 'terima kasih', 'sangat', 'dengan', 'tolong', 'lah', 'diperbaiki', 'jaringan', 'internet']","['aplikasi', 'jujur', 'bagus', 'tolong', 'perbaiki', 'jaringan', 'internet', 'nya', 'gangguan', 'sinyal', 'menghilang', 'darurat', 'kecepatan', 'jaringan', 'internet', 'diperbaiki', 'pengguna', 'setia', 'xl', 'kecewa', 'terima kasih', 'tolong', 'diperbaiki', 'jaringan', 'internet']","['aplikasi', 'jujur', 'bagus', 'tolong', 'baik', 'jaring', 'internet', 'nya', 'ganggu', 'sinyal', 'hilang', 'darurat', 'cepat', 'jaring', 'internet', 'baik', 'guna', 'setia', 'xl', 'kecewa', 'terima kasih', 'tolong', 'baik', 'jaring', 'internet']",aplikasi jujur bagus tolong baik jaring internet nya ganggu sinyal hilang darurat cepat jaring internet baik guna setia xl kecewa terima kasih tolong baik jaring internet
Nabil Hasan,2,2022-02-01 15:09:00,selamat malam kak maaf nih mau tanya saya beli paketan yang 28 kok masuk nya yang 15 itu kenapa ya mohon bantuannya kak saya sudah kejadian kedua kalinya seperti ini kak,3,3,3,0,,selamat malam kak maaf nih mau tanya saya beli paketan yang   kok masuk nya yang   itu kenapa ya mohon bantuannya kak saya sudah kejadian kedua kalinya seperti ini kak,selamat malam kak maaf nih mau tanya saya beli paketan yang   kok masuk nya yang   itu kenapa ya mohon bantuannya kak saya sudah kejadian kedua kalinya seperti ini kak,selamat malam kak maaf nih mau tanya saya beli paketan yang kok masuk nya yang itu kenapa ya mohon bantuannya kak saya sudah kejadian kedua kalinya seperti ini kak,selamat malam kak maaf nih mau tanya saya beli paketan yang kok masuk nya yang itu kenapa ya mohon bantuannya kak saya sudah kejadian kedua kalinya seperti ini kak,"['selamat', 'malam', 'kak', 'maaf', 'nih', 'mau', 'tanya', 'saya', 'beli', 'paketan', 'yang', 'kok', 'masuk', 'nya', 'yang', 'itu', 'kenapa', 'ya', 'mohon', 'bantuannya', 'kak', 'saya', 'sudah', 'kejadian', 'kedua', 'kalinya', 'seperti', 'ini', 'kak']","['selamat', 'malam', 'kak', 'maaf', 'ini', 'mau', 'tanya', 'saya', 'beli', 'paketan', 'yang', 'kok', 'masuk', 'nya', 'yang', 'itu', 'kenapa', 'iya', 'mohon', 'bantuannya', 'kak', 'saya', 'sudah', 'kejadian', 'kedua', 'kalinya', 'seperti', 'ini', 'kak']","['selamat', 'malam', 'kak', 'maaf', 'beli', 'paketan', 'masuk', 'nya', 'iya', 'mohon', 'bantuannya', 'kak', 'kejadian', 'kalinya', 'kak']","['selamat', 'malam', 'kak', 'maaf', 'beli', 'paket', 'masuk', 'nya', 'iya', 'mohon', 'bantu', 'kak', 'jadi', 'kali', 'kak']",selamat malam kak maaf beli paket masuk nya iya mohon bantu kak jadi kali kak
Fathira Rzky,1,2022-02-01 14:32:00,Coba dilihat lagi betul2 untuk iklan promo yg tidak sesuai dg kenyataan jangan ditampilkan di aplikasinya lg. Sblm isi pulsa murah giliran udh isi pulsa pilihan Paket berubahðŸ¤¦â€â™€ï¸,1,1,1,-1,,Coba dilihat lagi betul  untuk iklan promo yg tidak sesuai dg kenyataan jangan ditampilkan di aplikasinya lg  Sblm isi pulsa murah giliran udh isi pulsa pilihan Paket berubahðŸ¤¦â€â™€ï¸,Coba dilihat lagi betul  untuk iklan promo yg tidak sesuai dg kenyataan jangan ditampilkan di aplikasinya lg  Sblm isi pulsa murah giliran udh isi pulsa pilihan Paket berubah,Coba dilihat lagi betul  untuk iklan promo yg tidak sesuai dg kenyataan jangan ditampilkan di aplikasinya lg  Sblm isi pulsa murah giliran udh isi pulsa pilihan Paket berubah,coba dilihat lagi betul  untuk iklan promo yg tidak sesuai dg kenyataan jangan ditampilkan di aplikasinya lg  sblm isi pulsa murah giliran udh isi pulsa pilihan paket berubah,"['coba', 'dilihat', 'lagi', 'betul', 'untuk', 'iklan', 'promo', 'yg', 'tidak', 'sesuai', 'dg', 'kenyataan', 'jangan', 'ditampilkan', 'di', 'aplikasinya', 'lg', 'sblm', 'isi', 'pulsa', 'murah', 'giliran', 'udh', 'isi', 'pulsa', 'pilihan', 'paket', 'berubah']","['coba', 'dilihat', 'lagi', 'betul', 'untuk', 'iklan', 'promo', 'yang', 'tidak', 'sesuai', 'dg', 'kenyataan', 'jangan', 'ditampilkan', 'di', 'aplikasinya', 'lagi', 'sebelum', 'isi', 'pulsa', 'murah', 'giliran', 'udh', 'isi', 'pulsa', 'pilihan', 'paket', 'berubah']","['coba', 'iklan', 'promo', 'tidak', 'sesuai', 'kenyataan', 'jangan', 'ditampilkan', 'aplikasinya', 'isi', 'pulsa', 'murah', 'giliran', 'udh', 'isi', 'pulsa', 'pilihan', 'paket', 'berubah']","['coba', 'iklan', 'promo', 'tidak', 'sesuai', 'nyata', 'jangan', 'tampil', 'aplikasi', 'isi', 'pulsa', 'murah', 'gilir', 'udh', 'isi', 'pulsa', 'pilih', 'paket', 'ubah']",coba iklan promo tidak sesuai nyata jangan tampil aplikasi isi pulsa murah gilir udh isi pulsa pilih paket ubah
Achmad Maulana,1,2022-02-01 13:14:00,"Ini gimana si Xl. Ngaku doang prioritas. Udh tau lagi Pentingggg. Sinyal jelek, lemot, bikin Sensi! Bahkan ga ada sinyalll. Masa kalah ama Im3 dan Telkomsel . !!!!!!",1,1,1,-1,,Ini gimana si Xl  Ngaku doang prioritas  Udh tau lagi Pentingggg  Sinyal jelek  lemot  bikin Sensi  Bahkan ga ada sinyalll  Masa kalah ama Im  dan Telkomsel,Ini gimana si Xl  Ngaku doang prioritas  Udh tau lagi Pentingggg  Sinyal jelek  lemot  bikin Sensi  Bahkan ga ada sinyalll  Masa kalah ama Im  dan Telkomsel,Ini gimana si Xl  Ngaku doang prioritas  Udh tau lagi Penting  Sinyal jelek  lemot  bikin Sensi  Bahkan ga ada sinyal  Masa kalah ama Im  dan Telkomsel,ini gimana si xl  ngaku doang prioritas  udh tau lagi penting  sinyal jelek  lemot  bikin sensi  bahkan ga ada sinyal  masa kalah ama im  dan telkomsel,"['ini', 'gimana', 'si', 'xl', 'ngaku', 'doang', 'prioritas', 'udh', 'tau', 'lagi', 'penting', 'sinyal', 'jelek', 'lemot', 'bikin', 'sensi', 'bahkan', 'ga', 'ada', 'sinyal', 'masa', 'kalah', 'ama', 'im', 'dan', 'telkomsel']","['ini', 'bagaimana', 'si', 'xl', 'mengaku', 'doang', 'prioritas', 'udh', 'tahu', 'lagi', 'penting', 'sinyal', 'jelek', 'lelet', 'bikin', 'sensi', 'bahkan', 'ga', 'ada', 'sinyal', 'masa', 'kalah', 'sama', 'im', 'dan', 'telkomsel']","['si', 'xl', 'mengaku', 'doang', 'prioritas', 'udh', 'sinyal', 'jelek', 'lelet', 'bikin', 'sensi', 'ga', 'sinyal', 'kalah', 'im', 'telkomsel']","['si', 'xl', 'aku', 'doang', 'prioritas', 'udh', 'sinyal', 'jelek', 'lelet', 'bikin', 'sensi', 'ga', 'sinyal', 'kalah', 'im', 'telkomsel']",si xl aku doang prioritas udh sinyal jelek lelet bikin sensi ga sinyal kalah im telkomsel
Mukhamad Rosul,1,2022-02-01 13:13:00,"Paketan masih 4gb,masa aktif masih lama kok ga bisa digunakan.tanggal 19 kemarin saya beli,katanya sebulan kok ga sampe sebulan.",1,1,1,-1,,Paketan masih  gb masa aktif masih lama kok ga bisa digunakan tanggal   kemarin saya beli katanya sebulan kok ga sampe sebulan,Paketan masih  gb masa aktif masih lama kok ga bisa digunakan tanggal   kemarin saya beli katanya sebulan kok ga sampe sebulan,Paketan masih  gb masa aktif masih lama kok ga bisa digunakan tanggal kemarin saya beli katanya sebulan kok ga sampe sebulan,paketan masih  gb masa aktif masih lama kok ga bisa digunakan tanggal kemarin saya beli katanya sebulan kok ga sampe sebulan,"['paketan', 'masih', 'gb', 'masa', 'aktif', 'masih', 'lama', 'kok', 'ga', 'bisa', 'digunakan', 'tanggal', 'kemarin', 'saya', 'beli', 'katanya', 'sebulan', 'kok', 'ga', 'sampe', 'sebulan']","['paketan', 'masih', 'gb', 'masa', 'aktif', 'masih', 'lama', 'kok', 'ga', 'bisa', 'digunakan', 'tanggal', 'kemarin', 'saya', 'beli', 'katanya', 'sebulan', 'kok', 'ga', 'sampai', 'sebulan']","['paketan', 'aktif', 'ga', 'tanggal', 'kemarin', 'beli', 'sebulan', 'ga', 'sebulan']","['paket', 'aktif', 'ga', 'tanggal', 'kemarin', 'beli', 'bulan', 'ga', 'bulan']",paket aktif ga tanggal kemarin beli bulan ga bulan
Murte Murte,5,2022-02-01 10:38:00,sengaja saya kasih bintang lima biar di baca...kenapa sinyal XL sekarang internet nya lelet bangat dan sering sekali ganguan di tempat saya..saya posisi di Labangka sngt2 jelek sekali sinyal nya..mohon pihak XL di perbaiki lagi kualitas nya biar gak kabur pelanggan nya....ðŸ™,1,1,1,-1,,sengaja saya kasih bintang lima biar di baca   kenapa sinyal XL sekarang internet nya lelet bangat dan sering sekali ganguan di tempat saya  saya posisi di Labangka sngt  jelek sekali sinyal nya  mohon pihak XL di perbaiki lagi kualitas nya biar gak kabur pelanggan nya    ðŸ™,sengaja saya kasih bintang lima biar di baca   kenapa sinyal XL sekarang internet nya lelet bangat dan sering sekali ganguan di tempat saya  saya posisi di Labangka sngt  jelek sekali sinyal nya  mohon pihak XL di perbaiki lagi kualitas nya biar gak kabur pelanggan nya    ,sengaja saya kasih bintang lima biar di baca kenapa sinyal XL sekarang internet nya lelet bangat dan sering sekali ganguan di tempat saya  saya posisi di Labangka sngt  jelek sekali sinyal nya  mohon pihak XL di perbaiki lagi kualitas nya biar gak kabur pelanggan nya ,sengaja saya kasih bintang lima biar di baca kenapa sinyal xl sekarang internet nya lelet bangat dan sering sekali ganguan di tempat saya  saya posisi di labangka sngt  jelek sekali sinyal nya  mohon pihak xl di perbaiki lagi kualitas nya biar gak kabur pelanggan nya ,"['sengaja', 'saya', 'kasih', 'bintang', 'lima', 'biar', 'di', 'baca', 'kenapa', 'sinyal', 'xl', 'sekarang', 'internet', 'nya', 'lelet', 'bangat', 'dan', 'sering', 'sekali', 'ganguan', 'di', 'tempat', 'saya', 'saya', 'posisi', 'di', 'labangka', 'sngt', 'jelek', 'sekali', 'sinyal', 'nya', 'mohon', 'pihak', 'xl', 'di', 'perbaiki', 'lagi', 'kualitas', 'nya', 'biar', 'gak', 'kabur', 'pelanggan', 'nya']","['sengaja', 'saya', 'kasih', 'bintang', 'lima', 'biar', 'di', 'baca', 'kenapa', 'sinyal', 'xl', 'sekarang', 'internet', 'nya', 'lambat', 'banget', 'dan', 'sering', 'sekali', 'gangguan', 'di', 'tempat', 'saya', 'saya', 'posisi', 'di', 'labangka', 'sangat', 'jelek', 'sekali', 'sinyal', 'nya', 'mohon', 'pihak', 'xl', 'di', 'perbaiki', 'lagi', 'kualitas', 'nya', 'biar', 'gak', 'kabur', 'konsumen', 'nya']","['sengaja', 'kasih', 'bintang', 'biar', 'baca', 'sinyal', 'xl', 'internet', 'nya', 'lambat', 'banget', 'gangguan', 'posisi', 'labangka', 'jelek', 'sinyal', 'nya', 'mohon', 'xl', 'perbaiki', 'kualitas', 'nya', 'biar', 'gak', 'kabur', 'konsumen', 'nya']","['sengaja', 'kasih', 'bintang', 'biar', 'baca', 'sinyal', 'xl', 'internet', 'nya', 'lambat', 'banget', 'ganggu', 'posisi', 'labangka', 'jelek', 'sinyal', 'nya', 'mohon', 'xl', 'baik', 'kualitas', 'nya', 'biar', 'gak', 'kabur', 'konsumen', 'nya']",sengaja kasih bintang biar baca sinyal xl internet nya lambat banget ganggu posisi labangka jelek sinyal nya mohon xl baik kualitas nya biar gak kabur konsumen nya
dita mariana agustine,2,2022-02-01 0:40:00,"Mau login aja gk bisa2, kendala mulu, sinyal di hp malah hilang sma sekali ada tanda silang nya, udh dibayar pasca baysr nya, mo login aplikasi yg ini malah kendala terus, pdhal yg apk lama yg post paid bisa masuk, aneh",1,1,1,-1,,Mau login aja gk bisa   kendala mulu  sinyal di hp malah hilang sma sekali ada tanda silang nya  udh dibayar pasca baysr nya  mo login aplikasi yg ini malah kendala terus  pdhal yg apk lama yg post paid bisa masuk  aneh,Mau login aja gk bisa   kendala mulu  sinyal di hp malah hilang sma sekali ada tanda silang nya  udh dibayar pasca baysr nya  mo login aplikasi yg ini malah kendala terus  pdhal yg apk lama yg post paid bisa masuk  aneh,Mau login aja gk bisa kendala mulu  sinyal di hp malah hilang sma sekali ada tanda silang nya  udh dibayar pasca baysr nya  mo login aplikasi yg ini malah kendala terus  pdhal yg apk lama yg post paid bisa masuk  aneh,mau login aja gk bisa kendala mulu  sinyal di hp malah hilang sma sekali ada tanda silang nya  udh dibayar pasca baysr nya  mo login aplikasi yg ini malah kendala terus  pdhal yg apk lama yg post paid bisa masuk  aneh,"['mau', 'login', 'aja', 'gk', 'bisa', 'kendala', 'mulu', 'sinyal', 'di', 'hp', 'malah', 'hilang', 'sma', 'sekali', 'ada', 'tanda', 'silang', 'nya', 'udh', 'dibayar', 'pasca', 'baysr', 'nya', 'mo', 'login', 'aplikasi', 'yg', 'ini', 'malah', 'kendala', 'terus', 'pdhal', 'yg', 'apk', 'lama', 'yg', 'post', 'paid', 'bisa', 'masuk', 'aneh']","['mau', 'login', 'saja', 'gk', 'bisa', 'kendala', 'melulu', 'sinyal', 'di', 'seluler', 'bahkan', 'hilang', 'sama', 'sekali', 'ada', 'tanda', 'silang', 'nya', 'udh', 'dibayar', 'pasca', 'bayar', 'nya', 'mau', 'login', 'aplikasi', 'yang', 'ini', 'bahkan', 'kendala', 'terus', 'padahal', 'yang', 'aplikasi', 'lama', 'yang', 'surat', 'bayar', 'bisa', 'masuk', 'aneh']","['login', 'gk', 'kendala', 'melulu', 'sinyal', 'seluler', 'hilang', 'tanda', 'silang', 'nya', 'udh', 'dibayar', 'pasca', 'bayar', 'nya', 'login', 'aplikasi', 'kendala', 'aplikasi', 'surat', 'bayar', 'masuk', 'aneh']","['login', 'gk', 'kendala', 'melulu', 'sinyal', 'seluler', 'hilang', 'tanda', 'silang', 'nya', 'udh', 'bayar', 'pasca', 'bayar', 'nya', 'login', 'aplikasi', 'kendala', 'aplikasi', 'surat', 'bayar', 'masuk', 'aneh']",login gk kendala melulu sinyal seluler hilang tanda silang nya udh bayar pasca bayar nya login aplikasi kendala aplikasi surat bayar masuk aneh
MDW Official,1,2022-01-31 7:03:00,"Mau nanya, knpa XL di kalimantan lemot bnget yak, knpa gitu aja, kmaren lancar2 aja ini lemotnya minta ampun, banting hp gw.",1,1,1,-1,,Mau nanya  knpa XL di kalimantan lemot bnget yak  knpa gitu aja  kmaren lancar  aja ini lemotnya minta ampun  banting hp gw,Mau nanya  knpa XL di kalimantan lemot bnget yak  knpa gitu aja  kmaren lancar  aja ini lemotnya minta ampun  banting hp gw,Mau nanya  knpa XL di kalimantan lemot bnget yak  knpa gitu aja  kmaren lancar  aja ini lemotnya minta ampun  banting hp gw,mau nanya  knpa xl di kalimantan lemot bnget yak  knpa gitu aja  kmaren lancar  aja ini lemotnya minta ampun  banting hp gw,"['mau', 'nanya', 'knpa', 'xl', 'di', 'kalimantan', 'lemot', 'bnget', 'yak', 'knpa', 'gitu', 'aja', 'kmaren', 'lancar', 'aja', 'ini', 'lemotnya', 'minta', 'ampun', 'banting', 'hp', 'gw']","['mau', 'bertanya', 'kenapa', 'xl', 'di', 'kalimantan', 'lelet', 'banget', 'yak', 'kenapa', 'gitu', 'saja', 'kemarin', 'lancar', 'saja', 'ini', 'lelet', 'minta', 'ampun', 'banting', 'seluler', 'saya']","['xl', 'kalimantan', 'lelet', 'banget', 'yak', 'gitu', 'kemarin', 'lancar', 'lelet', 'ampun', 'banting', 'seluler']","['xl', 'kalimantan', 'lelet', 'banget', 'yak', 'gitu', 'kemarin', 'lancar', 'lelet', 'ampun', 'banting', 'seluler']",xl kalimantan lelet banget yak gitu kemarin lancar lelet ampun banting seluler
ARRY BAE,1,2022-01-31 6:51:00,"XL Pelit banget ngasi Kuota Unlimited Sbg Penggunan Kartu XL sy Kira Unlimited yg sy daftar di paket Combo plus untuk seluru setelah di baca Hanya untuk Wa, map, comperence & Edukasi. Tolong Lebih ber-inovasi kasi Unlimited yg lebih banyak di pakai setiap hari Contohnya Youtube, Tiktok, Instagram, Terutama Tiktok yg selalu sy pakai tiap hari kalau gini gak guna Namanya Unlimited Hanya Mampang Namanya saja.",1,1,1,-1,,XL Pelit banget ngasi Kuota Unlimited Sbg Penggunan Kartu XL sy Kira Unlimited yg sy daftar di paket Combo plus untuk seluru setelah di baca Hanya untuk Wa  map  comperence & Edukasi  Tolong Lebih ber inovasi kasi Unlimited yg lebih banyak di pakai setiap hari Contohnya Youtube  Tiktok  Instagram  Terutama Tiktok yg selalu sy pakai tiap hari kalau gini gak guna Namanya Unlimited Hanya Mampang Namanya saja,XL Pelit banget ngasi Kuota Unlimited Sbg Penggunan Kartu XL sy Kira Unlimited yg sy daftar di paket Combo plus untuk seluru setelah di baca Hanya untuk Wa  map  comperence & Edukasi  Tolong Lebih ber inovasi kasi Unlimited yg lebih banyak di pakai setiap hari Contohnya Youtube  Tiktok  Instagram  Terutama Tiktok yg selalu sy pakai tiap hari kalau gini gak guna Namanya Unlimited Hanya Mampang Namanya saja,XL Pelit banget ngasi Kuota Unlimited Sbg Penggunan Kartu XL sy Kira Unlimited yg sy daftar di paket Combo plus untuk seluru setelah di baca Hanya untuk Wa  map  comperence & Edukasi  Tolong Lebih ber inovasi kasi Unlimited yg lebih banyak di pakai setiap hari Contohnya Youtube  Tiktok  Instagram  Terutama Tiktok yg selalu sy pakai tiap hari kalau gini gak guna Namanya Unlimited Hanya Mampang Namanya saja,xl pelit banget ngasi kuota unlimited sbg penggunan kartu xl sy kira unlimited yg sy daftar di paket combo plus untuk seluru setelah di baca hanya untuk wa  map  comperence & edukasi  tolong lebih ber inovasi kasi unlimited yg lebih banyak di pakai setiap hari contohnya youtube  tiktok  instagram  terutama tiktok yg selalu sy pakai tiap hari kalau gini gak guna namanya unlimited hanya mampang namanya saja,"['xl', 'pelit', 'banget', 'ngasi', 'kuota', 'unlimited', 'sbg', 'penggunan', 'kartu', 'xl', 'sy', 'kira', 'unlimited', 'yg', 'sy', 'daftar', 'di', 'paket', 'combo', 'plus', 'untuk', 'seluru', 'setelah', 'di', 'baca', 'hanya', 'untuk', 'wa', 'map', 'comperence', '&', 'edukasi', 'tolong', 'lebih', 'ber', 'inovasi', 'kasi', 'unlimited', 'yg', 'lebih', 'banyak', 'di', 'pakai', 'setiap', 'hari', 'contohnya', 'youtube', 'tiktok', 'instagram', 'terutama', 'tiktok', 'yg', 'selalu', 'sy', 'pakai', 'tiap', 'hari', 'kalau', 'gini', 'gak', 'guna', 'namanya', 'unlimited', 'hanya', 'mampang', 'namanya', 'saja']","['xl', 'pelit', 'banget', 'kasih', 'kuota', 'unlimited', 'sebagai', 'guna', 'kartu', 'xl', 'saya', 'kira', 'unlimited', 'yang', 'saya', 'daftar', 'di', 'paket', 'kombo', 'plus', 'untuk', 'seluruh', 'setelah', 'di', 'baca', 'hanya', 'untuk', 'wa', 'map', 'kompetensi', '&', 'edukasi', 'tolong', 'lebih', 'ber', 'inovasi', 'kasih', 'unlimited', 'yang', 'lebih', 'banyak', 'di', 'pakai', 'setiap', 'hari', 'contohnya', 'youtube', 'tiktok', 'instagram', 'terutama', 'tiktok', 'yang', 'selalu', 'saya', 'pakai', 'tiap', 'hari', 'kalau', 'gini', 'gak', 'guna', 'namanya', 'unlimited', 'hanya', 'tampang', 'namanya', 'saja']","['xl', 'pelit', 'banget', 'kasih', 'kuota', 'unlimited', 'kartu', 'xl', 'unlimited', 'daftar', 'paket', 'kombo', 'plus', 'baca', 'wa', 'map', 'kompetensi', '&', 'edukasi', 'tolong', 'ber', 'inovasi', 'kasih', 'unlimited', 'pakai', 'contohnya', 'youtube', 'tiktok', 'instagram', 'tiktok', 'pakai', 'gini', 'gak', 'namanya', 'unlimited', 'tampang', 'namanya']","['xl', 'pelit', 'banget', 'kasih', 'kuota', 'unlimited', 'kartu', 'xl', 'unlimited', 'daftar', 'paket', 'kombo', 'plus', 'baca', 'wa', 'map', 'kompetensi', '', 'edukasi', 'tolong', 'ber', 'inovasi', 'kasih', 'unlimited', 'pakai', 'contoh', 'youtube', 'tiktok', 'instagram', 'tiktok', 'pakai', 'gin', 'gak', 'nama', 'unlimited', 'tampang', 'nama']",xl pelit banget kasih kuota unlimited kartu xl unlimited daftar paket kombo plus baca wa map kompetensi  edukasi tolong ber inovasi kasih unlimited pakai contoh youtube tiktok instagram tiktok pakai gin gak nama unlimited tampang nama
nadi nadi,5,2022-01-31 5:29:00,apk nya bagus!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!dah tau bagus masih Di lihat,2,2,2,1,,apk nya bagus                                                                                                                                                                                                                                                                                                                                                                                                                          dah tau bagus masih Di lihat,apk nya bagus                                                                                                                                                                                                                                                                                                                                                                                                                          dah tau bagus masih Di lihat,apk nya bagus dah tau bagus masih Di lihat,apk nya bagus dah tau bagus masih di lihat,"['apk', 'nya', 'bagus', 'dah', 'tau', 'bagus', 'masih', 'di', 'lihat']","['aplikasi', 'nya', 'bagus', 'sudah', 'tahu', 'bagus', 'masih', 'di', 'lihat']","['aplikasi', 'nya', 'bagus', 'bagus', 'lihat']","['aplikasi', 'nya', 'bagus', 'bagus', 'lihat']",aplikasi nya bagus bagus lihat
